Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,CoreType,NumCore,Notes,Size_5,Size_6,Size_7,Size_8,Size_9,Size_10,Size_11,Size_12,Size_13,Size_14,Size_15,Size_16,Size_17,Size_18,Size_19,Size_20,Size_21,Size_22,Size_23,Size_24,Size_25,Size_26,Size_27,Size_28,Size_29,Size_30,Size_31,Size_32,Size_33,Size_34,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42,Size_43,Size_44,Size_45,Size_46,Size_47,Size_48,Size_49,Size_50,Size_51,Size_52,Size_53,Size_54,Size_55,Size_56,Size_57,Size_58,Size_59,Size_60,Size_61,Size_62,Size_63,Size_64,Size_65,Size_66,Size_67,Size_68,Size_69,Size_70,Size_71,Size_72,Size_73,Size_74,Size_75,Size_76,Size_77,Size_78,Size_79
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,4,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,5,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,6,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,7,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,8,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,9,a,3,,4,3,3,2,3,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/14/2014,2014,10,a,8,,1,0,0,2,0,3,3,1,1,2,3,2,4,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,1,p,1,,20,1,1,2,1,3,1,3,2,2,4,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,2,p,1,,14,2,0,2,1,0,2,3,3,3,1,2,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,3,p,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,4,p,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,5,p,1,,23,5,1,4,2,1,1,2,0,11,2,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,6,p,1,no mussels in primary core sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,7,p,1,no mussels in primary core sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,8,p,1,,10,3,3,2,1,2,1,4,7,2,4,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,9,p,1,,3,3,5,0,3,2,2,3,3,2,4,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,10,p,1,,5,2,3,0,0,0,0,1,0,0,0,0,1,1,1,0,3,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,1,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,2,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,3,a,8,,5,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,4,a,3,,10,2,2,1,3,1,2,1,4,0,0,2,0,2,1,2,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,5,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,6,a,8,,6,1,2,0,1,2,2,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,7,a,5,,1,1,0,0,0,0,2,3,0,2,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,8,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,9,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/4/2015,2015,10,a,0,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,1,p,1,,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
